"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 10 23:38:16 TRT 2024","Thu Oct 10 23:38:24 TRT 2024","8242","Default Suite","KitapyurduTestAutomation","ProductSearchTest","ProductSearchTest","ValidStatementSearch","Geçerli Bilgilerle Ürün Arama",""
"passed","Thu Oct 10 23:33:28 TRT 2024","Thu Oct 10 23:33:42 TRT 2024","14849","Default Suite","KitapyurduTestAutomation","ForgotPasswordTest","ForgotPasswordTest","unsuccessfulforgotten","Kayıtlı Olmayan E-Posta ile Şifre Yenileme",""
"broken","Thu Oct 10 15:09:32 TRT 2024","Thu Oct 10 15:09:32 TRT 2024","1","Default Suite","KitapyurduTestAutomation","ProductSearchTest","ProductSearchTest","openBrowser","openBrowser",""
"passed","Thu Oct 10 23:53:29 TRT 2024","Thu Oct 10 23:54:33 TRT 2024","64814","Default Suite","KitapyurduTestAutomation","CartTest","CartTest","limit","Limit Uyarısı",""
"passed","Thu Oct 10 23:44:06 TRT 2024","Thu Oct 10 23:44:22 TRT 2024","15876","Default Suite","KitapyurduTestAutomation","CartTest","CartTest","productRemoval","Eklenen Ürünü Çıkarma İşlemi",""
"failed","Thu Oct 10 23:37:51 TRT 2024","Thu Oct 10 23:38:04 TRT 2024","12822","Default Suite","KitapyurduTestAutomation","ProductSearchTest","ProductSearchTest","NotResultSearch","Belirli Bir Sonuç Üretmeyen Arama",""
"passed","Thu Oct 10 23:37:29 TRT 2024","Thu Oct 10 23:37:40 TRT 2024","10707","Default Suite","KitapyurduTestAutomation","ProductSearchTest","ProductSearchTest","NoSuitableResultFound","Uygun Sonuç Bulunamaması Durumu",""
"passed","Thu Oct 10 23:41:23 TRT 2024","Thu Oct 10 23:41:39 TRT 2024","16109","Default Suite","KitapyurduTestAutomation","RegisterTest","RegisterTest","invalidEmail","Geçersiz E-posta Adresi",""
"passed","Thu Oct 10 23:32:59 TRT 2024","Thu Oct 10 23:33:16 TRT 2024","16924","Default Suite","KitapyurduTestAutomation","ForgotPasswordTest","ForgotPasswordTest","successfulforgotten"," Başarılı Şifre Gönderim İşlemi",""
"passed","Thu Oct 10 23:35:01 TRT 2024","Thu Oct 10 23:35:11 TRT 2024","10283","Default Suite","KitapyurduTestAutomation","LoginTest","LoginTest","loginUnsuccessful","Başarısız Giriş İşlemi",""
"passed","Thu Oct 10 23:39:35 TRT 2024","Thu Oct 10 23:39:53 TRT 2024","17602","Default Suite","KitapyurduTestAutomation","RegisterTest","RegisterTest","ValidAccount","Geçerli Bilgilerle Hesap Oluşturma",""
"passed","Thu Oct 10 23:44:33 TRT 2024","Thu Oct 10 23:44:48 TRT 2024","14948","Default Suite","KitapyurduTestAutomation","CartTest","CartTest","successfulladdtocart","Başarılı Ürün Ekleme İşlemi",""
"passed","Thu Oct 10 23:34:35 TRT 2024","Thu Oct 10 23:34:50 TRT 2024","15542","Default Suite","KitapyurduTestAutomation","LoginTest","LoginTest","loginSuccessful","Başarılı Giriş İşlemi",""
